company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP
"Cargill, Inc.",,,,Sikeston,,"410 W. Malone, 63801                 ",  [(573) 472-2272 ],,,,17899,GE 80ton,May-43,,
Sikeston Board of Municipal Utilities,,,,,,,,,,,41156,GE 85ton,Jul-80,,
Trinity Rail Service              ,,(formerly Springfield Railway Service Co.),(railcar repair),Springfield,,"1849 North Park Ave., 65803      (at former Frisco shops)           ",  [(417) 831-6797],,,,10184,SW7,,,1200
AGP / Ag Processing Inc.,,,,St. Joseph,,"900 Lower Lake Rd., 64504      ",[(816) 238-1700],,,,61266,RS4TC,Dec-54,,
AGP / Ag Processing Inc.,,,,St. Joseph,,"900 Lower Lake Rd., 64504      ",[(816) 238-1700],,,,20192,GP9,Dec-54,,1750
Bartlett & Co. ,,, (grain elevator),,,"1005 E Lake Blvd, 64503                         ", [(816) 238- 4561],,,,17623,GP7,Dec-52,,1500
Lifeline Foods,,(formerly Quaker Oats Co.),,,,"2811 S. 11th St., 64503    [(619) 279-1651]",  (816) 279-1651,,,,11038,GP9,-50,1998,1750
ADM / Growmark,,,,St. Louis,,"1 E. Grand , 63147     ", [(231-1815],,,,20657,SW1200,Jul-55,,1200
"Lange Stegmann Co., Inc     ",,,(fertilizer & bulk storage),,,"1 Angelica St., 63147",,Prairie Line #2002,,Line #2002,,GP9,Aug-55,2018,1750
"Lange Stegmann Co., Inc     ",,,(fertilizer & bulk storage),,,"1 Angelica St., 63147",,Prairie Line #2003,,Line #2003,21903,GP9,Nov-56,2018,1750
McKinley Iron Inc. / PCS Metals,,,(scrap),,,"3620 Hall St., 63147      [(314) 231-6077]",,,,,15728,GE 45ton,Aug-42,,
Mississippi Lime Co.  â€“  Ste. Genevieve Div.,,,,,,"16147  US 61, 63670               ",(573) 883-9477,,,,28618,GE 25ton,Jan-47,,
Mississippi Lime Co.  â€“  Ste. Genevieve Div.,,,,,,"16147  US 61, 63670               ",(573) 883-9477,,,,32528,GE 25ton,Mar-56,,
Mississippi Lime Co.  â€“  Ste. Genevieve Div.,,,,,,"16147  US 61, 63670               ",(573) 883-9477,,,,35918,GE 25ton,Feb-68,,
Central Plains Cement,(subs. Eagle Materials),(formerly Lafarge Corp.     ), (cement plant) ,Sugar Creek   (Kansas City),,Wayne City Rd.   (off N. River Rd.)         [(816) 252-0333],,,,,29934,GE 50ton,May-49,,
Toyota Motor Manufacturing,,,,Blue Springs,,"1200 Magnolia Way, 38828",(662) 317-3000,R.J. Corman,,Corman,21075,1737) : GP9,Nov-55,,
Westlake Chemical,,(formerly Axiall Corp. Chemicals & Vinyls LLC),,Aberdeen,Ms.,"Hwy. 25 S, 39730                         ",  [(662) 369-8111],GMTX 225,GMTX,225,,MP15AC,-82,2017,1500
DAK Americas - Pearl River Site,,(Formerly Wellman),,Bay St Louis,,"3303 Port & Harbor Dr., 39520",,,,,,[Plymouth MDT Ex Wellman,,,
"Jindal Tubular USA, LLC",,(formerly PSL North America),large diameter pipe,,,"Sea Plane Rd., Pearlington, MS, 39572",(228) 533-7779,,,,25225,SW1200,Jun-59,,1200
AITX / American Industrial Transport,,(formerly American Railcar Industries),,Bude,,"S. Gerald St., 39630    [(601) 384-5841]",,,,,32856,GE 45ton,Mar-57,,
AITX / American Industrial Transport,,(formerly American Railcar Industries),,Bude,,"S. Gerald St., 39630    [(601) 384-5841]",,,,,15733,GE 65ton,Jan-43,,
Nouryon,,(formerly AkzoNobel),(paper bleaching chemicals)   ,Columbus,,"4374 Nashville Ferry Rd. E    (P.O. Box 2167, 39704)            (5 mi. S of Columbus)",,,,,91101,SW1 Ex AkzoNobel,,2003,
Nouryon,,(formerly AkzoNobel),(paper bleaching chemicals)   ,Columbus,,"4374 Nashville Ferry Rd. E    (P.O. Box 2167, 39704)            (5 mi. S of Columbus)",,LTEX 144,LTEX,144,,SW1,-49,,600
Nouryon,,(formerly AkzoNobel),(paper bleaching chemicals)   ,Columbus,,"4374 Nashville Ferry Rd. E    (P.O. Box 2167, 39704)            (5 mi. S of Columbus)",,LTEX 1203,LTEX,1203,,SW9,-53,,1200
Mississippi Power Co.  â€“  Daniels Plant,(subs. Southern Co.),,,Escatawpa  (Moss Point),,"  (6 mi. North of..., on Hwy. 63)",,,,,31307,GE 45ton,Apr-52,1992,
"Nucor Steel Jackson, Inc.",,(formerly Birmingham Southeast Steel Corp.),,Flowood  (Jackson),,"3630  4th St., 39232", [(601) 939-1623],,,,,SW1,Apr-48,,600
"Nucor Steel Jackson, Inc.",,(formerly Birmingham Southeast Steel Corp.),,Flowood  (Jackson),,"3630  4th St., 39232", [(601) 939-1623],,,,,SW1,Dec-39,,600
"Nucor Steel Jackson, Inc.",,(formerly Birmingham Southeast Steel Corp.),,Flowood  (Jackson),,"3630  4th St., 39232", [(601) 939-1623],,,,23477,SW900,Jun-57,2004,900
"Nucor Steel Jackson, Inc.",,(formerly Birmingham Southeast Steel Corp.),,Flowood  (Jackson),,"3630  4th St., 39232", [(601) 939-1623],SSRX 30,SSRX,30,24679,SW600,May-58,,600
Tube City IMS    ,,(formerly International Mill Service Inc.),,,,"1830 Flowood Dr., 39208       ",[(601) 932-7274],,,,32340,GE 45ton,May-55,1997,
Tube City IMS    ,,(formerly International Mill Service Inc.),,,,"1830 Flowood Dr., 39208       ",[(601) 932-7274],,,,,Plymouth 50ton DE,Dec-50,2008,
General Recycling,,,,Flowood / Jackson,,,(601) 939-1347,,,,,Plymouth 45ton DE,Dec-50,,
Delta Western    ,,, (cat fish feed mill),Heathman  (Indianola),,"Hwy. 82 W., Indianola, 38751  [(601) 887-1226]",,,,,22118,GP9,-56,,1750
"Masonite Corp., div. International Paper ",,"(formerly Div., United States Gypsum)",,Laurel,,"1001 S. 4th Ave.  (P.O. Box 1048, 39441)  ",  [(601) 649-9180],,,,34620,GE 110ton,Apr-63,,
Conrad Yelvington Distributors   ,,,(gravel),Long Beach,,"4010 Esppy Ave., Ms. 39560   (3 mi. W of...)",,,,,17364,SW9,Dec-52,,1200
"Dunn Roadbuilders, LLC",,,,Meridian,,(at Vulcan Materials yard),,,,,,GP9,-50,,1750
CF Rail Services,,(formerly Mississippi Railcar),,Meridian / Whynot station,,Hwy. 19 E     (8 mi. S/E of...)   ,   [(601) 644-3725],,,,,GE 25ton,,,
CF Rail Services,,(formerly Mississippi Railcar),,Meridian / Whynot station,,Hwy. 19 E     (8 mi. S/E of...)   ,   [(601) 644-3725],,,,30486,GE 45ton,Dec-49,,
Oil-Dri  Production Co.     (clay quarry),,,,Ripley,,"                       (P.O. Box 476, 38663)     ", [(601) 837-9263],,,,,SW1,Aug-40,1986,600
Tyson Foods ,,"(formerly Choctaw Maid Farms, Inc.)", (feed mill),Union,,,,KMMX 128,KMMX,128,22755,SW1200,Jul-57,,1200
Bunge Corp.,,,,Vickburg,,(port area),,,,,76512,S2,Dec-48,,
Prestage Farms,,,feed mill,West Point,,"1550 W Church Hill Rd., 39773",  (662) 494-0813,,,,21483,SW900,Apr-56,,900
"Baldwin Pole & Piling Co., inc.",,(formerly International Paper ),(wood treating plant),Wiggins,,"1633 1st St. S.  (P.O. Box 37, 39577)   ", [(601) 928-5475],,,,29234,GE 25ton,Dec-47,,
"Baldwin Pole & Piling Co., inc.",,(formerly International Paper ),(wood treating plant),Wiggins,,"1633 1st St. S.  (P.O. Box 37, 39577)   ", [(601) 928-5475],,,,33379,GE 25ton,Sep-58,,
"CF Ind., Inc.",(subs. ,"formerly Terra Industires, Inc.)",   (fertilizer),Yazoo City,,"Hwy. 49E    (P.O. Box 1545, 39194)    [(601) 746-4131]",,,,,,SW1001m Ex Terra Nitrogen #L-11,,,
"CF Ind., Inc.",(subs. ,"formerly Terra Industires, Inc.)",   (fertilizer),Yazoo City,,"Hwy. 49E    (P.O. Box 1545, 39194)    [(601) 746-4131]",,,,,,SW1001 Ex Terra Nitrogen #2126,,,
Oneok Terminal,,,,Riverview Jct. ,Mt,(S of Sidney),,WAMX 1599,WAMX,1599,75625,,,,
Montana Resources,,  (formerly Anaconda Copper),,Butte,,,,U212,U,,21246,SW900,Apr-56,,900
Columbia Falls Aluminum      ,,(formerly Anaconda Aluminum),,Columbia Falls,,"2000 Aluminum Dr., 59912-9424      ",  [(406) 892-3261],,,,20640,SW1200,May-55,,1200
"Columbia Grain, Inc.",(subs. Marubeni),,,Conrad,,"116 S. Dakota          (P. O. Box 606, 59425)                        ", [(406) 278-3256],RLCX 514,RLCX,514,13576,"SW1 ""B""",Mar-51,,
Columbia Grain,(subs. Marubeni),,grain elevator,Harlem,,  SR 241 / Center Ave. E,,,,,17051,GP9,Apr-52,,1750
"ADM / CHS Cooperatives, LLC",,,,Havre,,"3001 15 North,  59501                            ",[(406) 265-2275],,,,22806,GP9,May-57,2001,1750
"ADM / CHS Cooperatives, LLC",,,,Havre,,"3001 15 North,  59501                            ",[(406) 265-2275],,,,31709,,-66,,
QualaWash,,(formerly Allwaste Container Service / Philip Services Corp.  ), (tank car cleaning),Miles City,,                                                                    ,     [(406) 232-0103 ],,,,,GE 35ton,,,
Trinity Railcar â€“ Plant #342        ,,(formerly Trancisco Rail Services),(railcar repair),,,"901 North Lake  (in former Milw shops)      (P.O. Box 1344, 59301      ",[(406) 232-1527],,,,29354,GE 25ton,Mar-48,,
Trinity Railcar â€“ Plant #342        ,,(formerly Trancisco Rail Services),(railcar repair),,,"901 North Lake  (in former Milw shops)      (P.O. Box 1344, 59301      ",[(406) 232-1527],,,,16381,GP7,-52,,1500
Columbia Grain,(subs. Marubeni),,,Plentywood,,"   (E. of...)    (P. O. Box 547, 59254)               ",[(406) 765-2150],,,,18774,SD9,-54,,1750
"Sidney Sugars, Inc.",(subs. American Crystal Sugar),(formerly Holly Sugar Corp.),,Sidney,,  (E of...)      [(406) 482-3303],,,,,27509,GE 45ton,Jun-44,1963,
Port of Montana,,,,Silver Bow  (Butte),,,,NREX 3641,NREX,3641,,GP38,,2003,2000
Scoular Co.,,,grain,,,"119044 German Gulch Road,  (Butte), 59750       ", [(406) 782-1202],,,,81388,S4,Jun-55,,
DuraFiber Technologies  -  Salisbury Plant    ,(j/v Koch Ind. & Grupo Xtra),(fomerly Invista),,Barber / Salibury,,"7401 Statesville Blvd.(US 70), 28147      (""Celanese Dr."" - ~7 mi N/W of Salisbury)     ", [(704) 636-6000] ,,,,15729,GE 45ton,Sep-42,1980,
Duke Power Co.  â€“  Belews Creek Power Station,,,,Belews Creek    (Walnut Grove),,Pine Hall Rd.,,,,,38934,GE 80ton,May-73,,
Duke Power Co.  â€“  Belews Creek Power Station,,,,Belews Creek    (Walnut Grove),,Pine Hall Rd.,,,,,,PL110D,-95,,
Duke Power Co.  â€“  Allen Steam Station,,,,Belmont,,Plant Allen Rd (off S Point Rd.- SR 273),,,,,41124,GE 85ton,Nov-80,,
"Frit Car, Inc.        ",,"(formerly Mid-Atlantic Rail Car Repair, Inc.)",(railcar repair),Bridgeton,,"  2012 US 17N, 28519",(252)  638-2675,,,,32149,GE 35ton,Jun-55,,
"Frit Car, Inc.        ",,"(formerly Mid-Atlantic Rail Car Repair, Inc.)",(railcar repair),Bridgeton,,"  2012 US 17N, 28519",(252)  638-2675,,,,33721,GE 35ton,Dec-59,,
Duke Power Co.  -  Cliffside Station,,,,Cliffside,,"573 Duke Power Rd., Mooresboro, 28114   (S of..., on SSR 1002 , at confluence of Suck Creek and Broad River)",,,,,38470,GE 80ton,May-72,,
Duke Power Co.  -  Cliffside Station,,,,Cliffside,,"573 Duke Power Rd., Mooresboro, 28114   (S of..., on SSR 1002 , at confluence of Suck Creek and Broad River)",,,,,23511,Republic RX500,-8,,
Browns of Carolina  ,,(formerly Carroll's Foods ), (feed mill) ,East Laurinburg,,,,JRS 138,JRS,138,14927,SW9,Nov-51,,1200
Pilkington Ind.,,(formerly Libbey-Owens-Ford Co.),,,,"13142 Rocky Ford Rd., 28352                      ", [(910) 276-5630] ,JRS 142,JRS,142,14098,SW1,Mar-51,,600
Vulcan Materials    ,,,(aggregates),Enka,,"Hwy 19-23 S, 28728   ", [(704) 255-8561],,,,35172,GE 100ton,Jan-65,,
White Transfer & Storage,,,,Fletcher,,"    (Cane Creek Industrial Park)    (off Mills Gap Road)   (P.O. Box 5371, Asheville, N.C., 28803)  ", [(704) 684-6441],,,,12911,GE 44ton,Sep-40,1977,
Iams Co.   ,,, (feeds),Gill   (Henderson),,845 Commerce Dr.    ,  [(252) 438-1600],CLC 9584,CLC,9584,30020,GE 70ton,Aug-48,,
SGL Carbon Corp.      ,(j/v Sigri (Ger) & Horsehead Resources)  ,(formerly Great Lakes Carbon),,Morganton,,"     Jamestown Road, 28655     ",  [(704) 437-3221],,,,32334,GE 45ton,Mar-55,1976,
North Carolina Granite Corp.,,,,Mount Airy,,"Hwy 130, Rt. 2, 27030   ", [(919) 786-5141],,,,30485,GE 45ton,Dec-49,,
Duke Energy â€“ Shearon Harris Nuclear Plant,,(formerly Carolina Power & Light),,Newhill,,"5421 Shearon Harris Rd., 27562",(919) 362-3002,L&S 121,S,121,,SW1,Mar-40,,600
Vulcan Materials  -  Rockingham Quarry,,,,Rockingham / Cordova,,"Dicks Rd.  (Dicks & Galeton)   P.O. Box 547, Rockingham, N.C., 28379)  ",   [(910) 895-2415],,,,17836,SD24dm,-59,2003,
Duke Energy  â€“  Roxboro Electric Plant,,(formerly Carolina Power & Light Co.),,Roxboro / Semora,," 1700 Dunnaway Rd., Semora, 27343  (on E. shore of Hyco Lake, 7 mi. N/W Roxboro)",,,,,79048,RS1,May-51,,
Duke Energy  â€“  Roxboro Electric Plant,,(formerly Carolina Power & Light Co.),,Roxboro / Semora,," 1700 Dunnaway Rd., Semora, 27343  (on E. shore of Hyco Lake, 7 mi. N/W Roxboro)",,,,,41135,GE 110ton,Mar-79,,
Duke Energy  â€“  Roxboro Electric Plant,,(formerly Carolina Power & Light Co.),,Roxboro / Semora,," 1700 Dunnaway Rd., Semora, 27343  (on E. shore of Hyco Lake, 7 mi. N/W Roxboro)",,JRS 132,JRS,132,74493,S2,Jul-46,2002,
Duke Energy  -  Marshall Steam Station,,(formerly Duke Power Co.),,Terrell / Sherrills Ford,,"8320 SR 150, Sherrill's Ford, 28673 (N/W  of..., of SR 150)",(800) 777-9898,,,,35783,GE 80ton,Apr-66,,
Duke Energy  -  Marshall Steam Station,,(formerly Duke Power Co.),,Terrell / Sherrills Ford,,"8320 SR 150, Sherrill's Ford, 28673 (N/W  of..., of SR 150)",(800) 777-9898,,,,37608,GE 80ton,Dec-70,,
Duke Energy  -  Marshall Steam Station,,(formerly Duke Power Co.),,Terrell / Sherrills Ford,,"8320 SR 150, Sherrill's Ford, 28673 (N/W  of..., of SR 150)",(800) 777-9898,,,,,PLD-110,-94,,
Almont Shipping Co.,,,,Wilmington,,"1 Hanover St., 27107    ",,L&S 135,S,135,14561,SW1,Jun-51,,600
Fortron / Ticona Ind,,(formerly  Invista ),(organic chemicals) ,,,"4600 US 421 N, 28401-2225     ", [(910) 341-5000],,,,,Republic RTX Ex Invista,,,
Ingredion,,(formerly CPC International     (Corn Products Co.),,Winston - Salem,,"4501 Overdale Rd., 27107         (~3 mi. S of...)              ", [(919) 785-0100],,,,34872,SW1000,Apr-69,,1000
North Central Grain Co-Op,,,,Bisbee,N. D.,,,ILSX 1001,ILSX,1001,18806,GP9,Apr-54,,1750
SunPrairie Grain / Cenex Harvest States Cooperatives     ,,(formerly Farmers United Co-Op Elevator),,Bowbells,,  Railroad St.          , [(701) 377-2353],NPR 2286,NPR,2286,22860,GP9,Jan-57,,1750
Northern Sun Div. ADM   ,,(formerly National Sun Ind.),(sunflower & soy oil proccessing),,,"5525 136th Ave SE, 58027       ",    [(701) 437-3000],,,,33019,GE 45ton,Nov-59,,
Northern Sun Div. ADM   ,,(formerly National Sun Ind.),(sunflower & soy oil proccessing),,,"5525 136th Ave SE, 58027       ",    [(701) 437-3000],,,,16174,SW9,Apr-52,,1200
Viterra,,(formerly Gavilon Grain LLC),(grain elevator),,,"4256 54th Ave., N, 58203  (off Bus US 81)                                               ",   [(701) 787-6820],,,,,SW1200,-55,,1200
Viterra,,(formerly Gavilon Grain LLC),(grain elevator),,,"4256 54th Ave., N, 58203  (off Bus US 81)                                               ",   [(701) 787-6820],,,,17142,GP7,Aug-52,2005,1500
Kensal Farmers Elevator Co.,,,,Kensal,,"20 5th Ave., 58455                     ", [(701) 435-2451],,,,29339,GE 45ton,Feb-48,,
Andeavor â€“  Mandan Refinery      ,,(formerly Tesoro ),,Mandan,,"                                 (P.O. Box 5000, 58554)                [(701) 667-2492]",,,,,16368,GP7,-52,,1500
Sheyenne Valley Grain Co-Op,,,,McVille,,"           (P. O. Box G, 58254)    ", [(701) 322-4317],,,,20116,SW1200,Jan-55,,1200
CHS â€“ West Plant,,,,Minot,,"2550 Valley St., 58701",(701) 852-1429,,,,17737,GP7,Apr-53,,1500
Sunprairie Grain,,(formerly CHS Cooperatives ),,Mohall,,"      (RR2, box 543, 58761)      [(701) 756-6229]",,,,,,Model 40,Nov-41,,300
CHS Cooperatives      ,,(formerly Cenex Harvest States Co-Op),,Mooreton,,"320 Front St., 58061     ", [(701) 274-8231],,,,,NW2,-49,,1000
Great River Energy - Spiritwood Station,(subs. Basin Electric Power Cooperative),,,Spiritwood,,"3349 94th Ave., SE, 58481      [(701) 252-8220]",,,,,31030,GE 80ton,Dec-51,2013,
Archer-Daniels-Midland -  Midwest Processors Div.,,,,Voltaire   (Velva),," 1388 SR 97       (RR 2, Box 110, Velva, 58790)     ", [(701) 338-2491],,,,32117,SW1500,Nov-66,,1500
Archer-Daniels-Midland -  Midwest Processors Div.,,,,Voltaire   (Velva),," 1388 SR 97       (RR 2, Box 110, Velva, 58790)     ", [(701) 338-2491],,,,32118,SW1500,Nov-66,,1500
Service Oil Co. / Sta-Mart,,,,West Fargo,,1718 Main Ave. E.,,,,,,SW1,-40,2016,600
U. S. Pipe & Foundry Co.,,,pipe distribution,Burlington,N. J.,River Rd.,,,,,,GE 45ton,,,
South Jersey Port Corp.  -  Broadway Terminal & Beckett St. Terminal,,,,Camden,,"2500 Broadway    (P.O. Box 129, 08101)        ", [(609) 541-8500],,,,31199,GE 35ton,Apr-52,,
South Jersey Port Corp.  -  Broadway Terminal & Beckett St. Terminal,,,,Camden,,"2500 Broadway    (P.O. Box 129, 08101)        ", [(609) 541-8500],,,,33111,GE 35ton,Feb-58,,
Atlantic Electric Co.  â€“  Deepwater Generating Station   ,(subs. Conectiv)   ,(formerly Atlantic City Electric),,Deepwater,,"373 N. Broadway, Pennsville, 08070       ", [(609) 678-1726],,,,,NW2,-47,,1000
Chemours  â€“  Chambers Works      ,,E. I. duPont,(elastomeric chemicals),Deepwater / Carney's Point,,"US Hwy. 130 & Canal Road, 08023   ", [(609) 299-5000],2nd,,,35303,SW1500,Sep-69,,1500
Chemours  â€“  Chambers Works      ,,E. I. duPont,(elastomeric chemicals),Deepwater / Carney's Point,,"US Hwy. 130 & Canal Road, 08023   ", [(609) 299-5000],,,,33316,SW1000,Dec-67,,1000
Chemours  â€“  Chambers Works      ,,E. I. duPont,(elastomeric chemicals),Deepwater / Carney's Point,,"US Hwy. 130 & Canal Road, 08023   ", [(609) 299-5000],,,,33756,SW1000,Dec-67,,1000
Chemours  â€“  Chambers Works      ,,E. I. duPont,(elastomeric chemicals),Deepwater / Carney's Point,,"US Hwy. 130 & Canal Road, 08023   ", [(609) 299-5000],,,,,NW2,May-49,,1000
"Repauno Products, LLC.    ","(subs. US Salt Holdings, LLC)  ", (formerly E. I. duPont  -   Repauno Plant),,Gibbstown,,"Repauno Ave., 08027  ",  [(609)423-0105],,,,11657,SW7m,Oct-50,,
Tropicana,,,,Jersey City,,9 Linden Ave. E,(201) 395-6001,KLWX 2240,KLWX,2240,35064,SW1500,Jun-69,2019,1500
River Terminal Development Co.  ,,,(scrap yard),Kearny,,100 Central Avenue.   , [(201) 589-0063],,,,,Davenport 44ton,Jun-53,1974,
River Terminal Development Co.  ,,,(scrap yard),Kearny,,100 Central Avenue.   , [(201) 589-0063],,,,17910,GE 80ton,Jun-43,,
CMC Steel,,(formerly Gerdau Ameristeel â€“ Sayreville),rebar,Sayreville,,"N. Crossman Road, 08872 (Main Street & Crossmans Road)    ", [(908) 721-6600] ,,,,74791,MP15,Feb-75,2022,
Aurubis Buffalo,,"(formerly Luvata Buffalo, Inc.)",brass & copper,Buffalo,N. Y.,70 Sayre St. 14207       , [879-6700],,,,32227,GE 80ton,,,
Aurubis Buffalo,,"(formerly Luvata Buffalo, Inc.)",brass & copper,Buffalo,N. Y.,70 Sayre St. 14207       , [879-6700],,,,32851,GE 45ton,,,
Aurubis Buffalo,,"(formerly Luvata Buffalo, Inc.)",brass & copper,Buffalo,N. Y.,70 Sayre St. 14207       , [879-6700],,,,78824,S4,Aug-51,,
"Dunkirk Power, LLC / Eastern States Power ",, (formerly Niagara Mohawk Power ),,Dunkirk,,"106 Point Dr. N     (head office: 300 Erie Blvd., W. Syracuse, N.Y., 13202)",,,,,33408,GE 80ton,Dec-59,1990,
Bombardier,,(formerly ADtranz / Daimler Chrysler Corp.),rapid transit cars,El Mira Heights,,"300 E 18th St., 14903                           ",[(607) 732-5251],,,,32385,GE 45ton,Aug-55,,
Alstom Transport,,"(formerly GEC Alstom, previously Morrison-Knudsen)",,Hornell,,1 Transit Dr.   (off River St.       (ex E-L shops),(607) 324-4595,,,,82294,S6,Nov-56,,
Occidental Chemical,,(formerly Hooker Chemical Div.),,Niagara Falls,,"4700 Buffalo Ave., 14304     (P. O. Box 728, 14302)      ",  [(716) 278-7777],RLCX 506,RLCX,506,,SW1,Jan-41,,600
General Electric Co. â€“ Power,,,,Schenectady,,"1 River Road, 12305   ", [(518) 385-4388],,,,41029,GE 85ton,Nov-76,,
General Electric Co. â€“ Power,,,,Schenectady,,"1 River Road, 12305   ", [(518) 385-4388],,,,41134,GE 85ton,Dec-78,,
Trigen Syracuse Energy Corp.,,(formerly Salt City Energy Venture),,Solvay,,"1700 Milton Ave., 13209    (off Willis Ave., near CR)    ",  [(315) 487-4473],,,,81805,S6,Aug-56,,
Trigen Syracuse Energy Corp.,,(formerly Salt City Energy Venture),,Solvay,,"1700 Milton Ave., 13209    (off Willis Ave., near CR)    ",  [(315) 487-4473],,,,82293,S6,Nov-56,,
AES Corp.  -  Westover Plant,,(formerly New York State Electric & Gas - Goudy Station),,Johnson City,,Riverside Dr.,,,,,30748,GE 45ton,Jun-50,,
American Zinc Products,(j.v Befesa & American Zinc Recycling),(formerly American Zinc Recycling Corp.),resource recovery,Brice / Moorseboro (Rutheford County),,"484 Hicks Grove Rd, Mooresboro,   (near US 221 and NC/SC border)",(800) 962-7500,LOSX 912,LOSX,912,20411,SW900,Jul-55,2022,900
Martin Marietta Materials,,,,Castle Hayne,,,,,,,15812,GP7,,,1500
Nucor Steel â€“ Hertford,,,,Cofield,,"1505 River Road     (P.O. Box 279,  Winton, NC 27986)                 ", [(252) 356-3700],,,,14517,SW9,Aug-51,,1200
Nucor Steel â€“ Hertford,,,,Cofield,,"1505 River Road     (P.O. Box 279,  Winton, NC 27986)                 ", [(252) 356-3700],,,,20082,SW1200,Nov-54,,1200
"Tyson Foods, Inc.           ",,(formerly Holly Farms),,Monroe,,"Secrest Avenue, Monroe, NC 28110 
                             (704) 283-7574",,,,,20209,,,,
Bay State Milling Co.,,,,Mooresville,,"448 N. Main St., 28115    ", [(704) 664-4873],,,,71980,VO1000,Jan-45,1997,
Certainteed Building Materials,,,,Oxford,,"200 Certainteed Dr., 27565                           ",  [(919) 693-1141],L&S 129,S,129,,NW2,Dec-48,,1000
Domtar,,(formerly Weyerhaeuser Co.  ),(paper mill),Plymouth,,"Trowbridge Rd. & W. Main St. Extension, 27962       [(919) 793-8111]",,RLIX 1207,RLIX,1207,11166,SW9,Jun-52,2015,1200
Domtar,,(formerly Weyerhaeuser Co.  ),(paper mill),Plymouth,,"Trowbridge Rd. & W. Main St. Extension, 27962       [(919) 793-8111]",,GITM #1003,,#1003,73623,SW1001,,2021,1000
"Nash Johnson & Sons' Farms, Inc.   ",(poultry feed mill),,,,,  US 117 N,,L&S 117,S,117,,SW1,Aug-49,,600
Capital Power Corp.,,(formerly Co-Gentrix),co- generating plant,Southport,,1281 Powerhouse Dr.  (off E Leonard St.),,,,,30643,SW1200,-65,1987,1200
Capital Power Corp.,,(formerly Co-Gentrix),co- generating plant,Southport,,1281 Powerhouse Dr.  (off E Leonard St.),,,,,30646,SW1200,Oct-65,1987,1200
"Bartlett Milling Co., LP.",,,feed mill,Wilson's Mills,,5000 Wilson's Mills Rd,(919) 938-2988,,,,,Plymouth 30ton MDT,Mar-52,,
Alton Grain Terminal,,,,Alton,N.D.,"Hwy 81 N, Hillsboro, N.D., 58045        ",     [(701) 636-5130],,,,34481,SW1500,-68,2000,1500
McLean Elevator Co.,,,,Benedict,,"29th St NW., 58716",,,,,11378,SW1,Feb-50,,600
Columbia Grain,(subs. Marubeni),(formerly Peavey Co. and Ag Processing - formerly neighboring facilities),(grain elevaor),Berea / Valley City,,"Exit 288, I-94, 58072     ", [(701) 845-2623],,,,22756,SW1200,-57,,1200
Columbia Grain,(subs. Marubeni),(formerly Peavey Co. and Ag Processing - formerly neighboring facilities),(grain elevaor),Berea / Valley City,,"Exit 288, I-94, 58072     ", [(701) 845-2623],CGWX 1500,CGWX,1500,,MP15AC Ex Crete Grain #1500,,,
Berthold Farmers Co-Op,,,,Berthold,,"1 Main St. South, 58718                          ",  [(701) 453-3431],,,,10512,NW2,Nov-49,,1000
Dakota Gasification Co. â€“ Great Plains Synfuels Plant,(subs. Basin Electric Power Cooperative),,,Beulah,,"   CR 26A, 58523      ", [(701) 873-2100],,,,32847,GE 35ton,Apr-57,,
Border Ag & Energy,,(fomerly Bottineau Farmers Elevator #1),,Bottineau,,"106 Main St., 58318",,,,,,SW1,Feb-41,,600
Border Ag & Energy,,(fomerly Bottineau Farmers Elevator #1),,Bottineau,,"106 Main St., 58318",,,,,10900,SW1,Jul-50,,600
CHS Cooperatives       ,,(formerly Cenex Harvest States Cooperatives),,Boyle    (Gladstone),,"(~ 3 mi. NE of..., between Gladstone & Taylor)",,,,,,SW7,Mar-50,,1200
Berthold Farmers Co-Op  â€“  Carpio Station,,,,Carpio,,"421 Main St., 58725                    ",    [(701) 468-5423],,,,18112,SW1,May-53,,600
Tharaldson Ethanol,,,ethanol,,,"3549 153rd Ave. SE, 58012      (~1 mi. W of...)",(701) 347-4000,NIWX 9251,NIWX,9251,,NW2,Aug-47,,1000
Tharaldson Ethanol,,,ethanol,,,"3549 153rd Ave. SE, 58012      (~1 mi. W of...)",(701) 347-4000,MWLX 9898,MWLX,9898,73748,SD40-2,Mar-74,2018,3000
Columbia Grain,(subs. Marubeni),,(grain elevaor),Crystal,,"8214 138th Ave., 58222",  (701) 657-2107,,,,20560,SD9,-55,,1750
Strata Corp.,,,(aggregates distribution),Devils Lake,,,,BGSX 230,BGSX,230,20544,SW1200,-55,,1200
CHS,,,grain elevator,Drayton,,,,,,,,SD40-2,Jun-80,,3000
Finley Farmers Grain & Elevator Co.,,,,Finley,,                              ,       [(701) 524-2692],ILS 1384,ILS,1384,23629,SD9,-57,,1750
Columbia Grain â€“ Jamestown West,  (subs Marubeni),(formerly Gavilon Grain),grain,Jamestown,,"3469 80th Ave. SE, 58401",(701) 252-4102,,,,,SD40,Dec-68,2012,3000
Gavilon Grain ,,(formerly Peavey Co.), (grain elevator),,,"3469 80th Avenue SE, 58401     (~2 mi. W of...)        ",  [(701) 252-4102],,,,17156,SD7,Jan-53,1999,1500
