,company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive serial number,locomotive model,Manufactured Date(MM/YY),locomotives
2668,Domtar,,(formerly Weyerhaeuser Co.  ),(paper mill),Plymouth,,"Trowbridge Rd. & W. Main St. Extension, 27962       [(919) 793-8111]",,73623,SW1001,,
2672,"Nash Johnson & Sons' Farms, Inc.   ",(poultry feed mill),,,,,  US 117 N,,,SW1,8-49,
2676,Capital Power Corp.,,(formerly Co-Gentrix),co- generating plant,Southport,,1281 Powerhouse Dr.  (off E Leonard St.),,30643,SW1200,-65,
2677,Capital Power Corp.,,(formerly Co-Gentrix),co- generating plant,Southport,,1281 Powerhouse Dr.  (off E Leonard St.),,30646,SW1200,10-65,
2685,"Bartlett Milling Co., LP.",,,feed mill,Wilson's Mills,,5000 Wilson's Mills Rd,(919) 938-2988,,Plymouth 30ton MDT,3-52,
2686,Alton Grain Terminal,,,,Alton,N.D.,"Hwy 81 N, Hillsboro, N.D., 58045        ",     [(701) 636-5130],34481,SW1500,-68,
2687,McLean Elevator Co.,,,,Benedict,,"29th St NW., 58716",,11378,SW1,2-50,
2688,Columbia Grain,(subs. Marubeni),(formerly Peavey Co. and Ag Processing - formerly neighboring facilities),(grain elevaor),Berea / Valley City,,"Exit 288, I-94, 58072     ", [(701) 845-2623],22756,SW1200,-57,
2690,Columbia Grain,(subs. Marubeni),(formerly Peavey Co. and Ag Processing - formerly neighboring facilities),(grain elevaor),Berea / Valley City,,"Exit 288, I-94, 58072     ", [(701) 845-2623],,MP15AC Ex Crete Grain #1500,,
2691,Berthold Farmers Co-Op,,,,Berthold,,"1 Main St. South, 58718                          ",  [(701) 453-3431],10512,NW2,11-49,
2695,Dakota Gasification Co. – Great Plains Synfuels Plant,(subs. Basin Electric Power Cooperative),,,Beulah,,"   CR 26A, 58523      ", [(701) 873-2100],32847,GE 35ton,4-57,
2699,Border Ag & Energy,,(fomerly Bottineau Farmers Elevator #1),,Bottineau,,"106 Main St., 58318",,,SW1,2-41,
2700,Border Ag & Energy,,(fomerly Bottineau Farmers Elevator #1),,Bottineau,,"106 Main St., 58318",,10900,SW1,7-50,
2703,CHS Cooperatives       ,,(formerly Cenex Harvest States Cooperatives),,Boyle    (Gladstone),,"(~ 3 mi. NE of..., between Gladstone & Taylor)",,,SW7,3-50,
2704,Berthold Farmers Co-Op  –  Carpio Station,,,,Carpio,,"421 Main St., 58725                    ",    [(701) 468-5423],18112,SW1,5-53,
2710,Tharaldson Ethanol,,,ethanol,,,"3549 153rd Ave. SE, 58012      (~1 mi. W of...)",(701) 347-4000,,NW2,8-47,
2711,Tharaldson Ethanol,,,ethanol,,,"3549 153rd Ave. SE, 58012      (~1 mi. W of...)",(701) 347-4000,73748,SD40-2,3-74,
2712,Columbia Grain,(subs. Marubeni),,(grain elevaor),Crystal,,"8214 138th Ave., 58222",  (701) 657-2107,20560,SD9,-55,
2713,Strata Corp.,,,(aggregates distribution),Devils Lake,,,,20544,SW1200,-55,
2715,CHS,,,grain elevator,Drayton,,,,,SD40-2,6-80,
2718,Finley Farmers Grain & Elevator Co.,,,,Finley,,                              ,       [(701) 524-2692],23629,SD9,-57,
2724,Columbia Grain – Jamestown West,  (subs Marubeni),(formerly Gavilon Grain),grain,Jamestown,,"3469 80th Ave. SE, 58401",(701) 252-4102,,SD40,12-68,
2726,Gavilon Grain ,,(formerly Peavey Co.), (grain elevator),,,"3469 80th Avenue SE, 58401     (~2 mi. W of...)        ",  [(701) 252-4102],17156,SD7,1-53,
2727,Scherbenske & Son Inc,,,sand & gravel,,,,,10514,TR2A,12-49,
2729,Dakota Plains Ag Co-Op / CHS,,,elevator,Kendrick,,"165th Ave SE, 58051",  (701) 428-3134,,SW1200RS,,
2731,Border Ag,,,,Lansford,,,,,SD9 Ex United Quality Cooperative Grain #316,,
2732,Northern Sun,,,,,,,,,GP15,7-79,
2733,Farmers Cooperative Elevator - South Plant,,,,Lidgerwood,,301 2nd Ave. SE,  (701) 538-4617,20014,GP9,12-54,
2735,Horizon Resources,,(formerly Prairie States Co-Op Terminal),,,,"215 2nd St W, 58801",(701) 572-2171,25060,GP9m,-59,
2737,Osnabrock Farmers Cooperative Elevator / Northern Prairie Ag ,,,,Nekoma,,"103 Dakota St., 58355",  (701) 949-2722,37929,GP38,11-71,
2741,United Quality Cooperative Grain,,(formerly Dakota Quality Cooperative Grain),grain elevator,New Town,,"14 Railroad Ave. S, 58770",  (701) 862-3404,,GP9 Ex Dakota Quality Co-Op Grain #8270,,
2743,Cendak Cooperative,,(formerly BTR Famers Cooperative),,Niles / Leeds,,,,13926,GP7,-51,
2746,Plaza-Makoti Equity Elevator,,,,Plaza,,"101 Railroad Ave, 58771",(701) 497-3707,73695,SD40-2,10-74,
2747,Red Tail Energy,,,,Richardson,,,,18569,GP7,6-53,
2750,Scranton Equity Exchange,,,,Scranton,,,,22733,GP9,8-57,
2751,Scranton Equity Exchange,,,,Scranton,,,,23853,GP9,1-57,
2756,Green Bison Soy Processing,  (j/v ADM / Marathon Petroleum),(at former Ladish Malting / Cargill site),soy processing,,,"3349 94th Ave., SE, 58481  ",  (800) 475-4291,33480,GP40d,10-67,
2764,Smart Sand,,,,,,,,37853,GP40,9-71,
2765,Renville Elevator,,,,Tolley,,"Railway Ave., 58787    ", [(701) 386-2457],,SW1,8-39,
2766,Savage Services,,,oil field services,Trenton,,,,,GP9,-56,
2768,Savage Services,,,oil field services,Trenton,,,,33689,GP38d-3,11-67,
2772,Minn-Dak Farmers Cooperative,,,,Wahpeton,,"7525 Red River Rd., 58075       ",[(701) 642-8411],20330,SW1200,3-55,
2774,Concrete Services / Strata Corp.,,,aggregates yard,,,"102 12th Ave, NW",(701) 277-1432,,SW1200RS,-56,
2777,Ciment du Quebec  ,,,,Bow,N.H.,"7 Johnson Rd., 03304                          ",  [(603) 228-1001 ],30919,GE 50ton,5-51,
2778,Dow Chemical  ,,(formerly Union Carbide),,Bound Brook,N.J.,"1 River Road, 08805                              ", [(732) 563-5000],,SW1200RS,-60,
2779,Midpoint Logistics Center,,,industrial park,Hillsborough Township / Mansville,,"152 US 206, 08844",,35344,GP38,7-69,
2780,Sims Metal Management,,(formerly Metal Management),,Newark,,20 - 26 Ricards St,(973) 344-4570,14044,SW9,5-51,
2783,Kinysharyo International LLC - Eastern Railcar Div.,,,railcar repair,Piscataway,,"145 Baekland Ave., 08854",  (732) 230-4501,34770,GP40FH-2,1-69,
2787,Gavilon,,,,Clovis,,"1327 US 60, 88101",(575) 762-2946,17738,GP9,4-53,
2788,Viterra,,(formerly Gavilon),,,,"1327 US 60, 88101",(575) 762-2946,17738,GP9,4-53,
2789,Vulcan Materials – Torrance Quarry,,(Mainline Rock & Ballast),,Encino  (Torrance County),,"75 Eshieman Rd., 88321    (5 mi. W of...)",(575) 584-0151,24037,SW1200,-58,
2790,Vulcan Materials – Torrance Quarry,,(Mainline Rock & Ballast),,Encino  (Torrance County),,"75 Eshieman Rd., 88321    (5 mi. W of...)",(575) 584-0151,,SD40 Ex Mainline Rock & Ballast #0122,,
2791,TPL Inc.       ,,, (munitions deactivation and recycling),Fort Wingate,,,,,H-12-44,2-53,
2792,Chino Mines Co.    ,(subs. Phelps Dodge Corp.),,,Hurley,,,,18099,SW9,5-53,
2796,CIG Logistics,,,transload,,,,,,SD40-2,9-67,
2799,In-Terminal Services [now Corman ?] / ITSX – UP Intermodal Terminal,,,,Santa Theresa,,"32880 W 191st St, 66021  (~2 mi NW of...)",,73687,SD40-2,5-74,
2801,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 8ton HMD-24,2-71,
2802,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 8ton HMD-24,8-71,
2803,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 6ton HMD-24,8-71,
2804,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 6ton HMD-24,8-71,
2805,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 6ton HMD-24,8-71,
2806,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 6ton HMD-24,2-73,
2807,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 6ton HMD-24,11-74,
2808,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 6ton HMD-24,11-74,
2809,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 8ton HMD-24,10-75,
2810,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 8ton HMD-24,10-75,
2811,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 8ton HMD-24,6-76,
2812,Titan Mining Co.,," (formerly Star Mountain Resources - not operated , previously St. Lawrence Zinc Co. )",,Balmat,,"Sylvia Lake, (Gouverneur), 13642                               ", [(315) 287-2500 ],,Plymouth 8ton HMD-24,7-77,
2814,Waste Management,,, (solid waste transfer),Bronx,,     (near Willis Ave. Bridge),,,NW2,9-49,
2816,ADM Milling Co.  –  Standard Elevator    ,,(formerly Pillsbury Co.),(flour milling)            ,Buffalo,,"250 Ganson St., 14203   ",   [(716) 849-7333],32373,GE 25ton,7-55,
2817,Corn Exchange of Buffalo,,(formerly Pillsbury),,,,1 St. Clair Street  (Ohio & St. Clair)     ,  [(716) 856-1763],,GE 35ton,,
2819,"Interface Solutions, Inc.         ",,"(formerly Armstrong World Ind., Inc)",,Fulton,,"2885  Rt. 481 N, 13069     ", [(315)592-0411],,Plymouth 35ton MDT,8-55,
2820,Lackawanna Coal Terminal,,,,Lackawanna / Buffalo,,1951 Hamburg Turnpike,,,SW1,-40,
2821,Cargill Salt,,,,Lulowville  (Lansing),,,,14497,SW8,9-51,
2822,East Coast Railroad Services,,,,New Windsor,,"42 Argenio Dr., 12553",  (845) 565-7210,31876,GE 44ton,2-53,
2823,Ray's Transportation / East Coast RR Service,,,track contractor / salvage,,,42 Argenio Dr.,,31876,GE 44ton,2-53,
2824,Tier New York LLC,,(formerly Allwaste Container Services / Philip Services Corp.  )    ,(tank car cleaning),Niagara Falls,,"33 Hyde Park Blvd., 14303      (@old Niagara Jct. enginehouse)      [(716) 282-0514]",,,GE 25ton,,
2826,Garnett Asphalt,,,,Peth   (Great Valley),,,,21533,GP9,4-56,
2828,Griffis Business & Technology Park           ,,(formerly Griffis AFB),,Rome,,,,31377,GE 80ton,11-52,
2829,Griffis Business & Technology Park           ,,(formerly Griffis AFB),,Rome,,,,69461,S1,-41,
2830,Dimension Fabricators,,,,Scotia,,Glenville Industrial Park,,29058,GE 45ton,8-47,
2836,New York Container Terminal,,,,,,,,35582,SW1500,12-69,
2840,Alstom Air Preheater Co.,,,,Wellsville,,Truax Rd.,,,Ohio Crane,,
2842,Global TransPark,,,,Kinston,NC,,,30759,SW900,10-65,
2846,E Energy,,,ethanol,Adams,Ne,"13238 E Aspen Rd, 68301    (~2 mi  NW of...)",  (402) 988-4655,24976,SW900,-58,
2852,"GBW Railcar Services, LLC",,(formerly Watco ),(railcar repair),Omaha,,"13810 L St., 68137         ", [(402) 894-1008],,SW1,6-39,
2854,Western Sugar Co.,,(formerly Great Western Sugar),,Scottsbluff,,"2100 E Overland Dr., 69361     ", [(308) 632-3414],75629,MP15AC,-76,
2857,"AEP Pro Serve, Inc.",,(formerly Southwest Electric Power Co.),(coal hopper repair),Alliance,,,,41105,GE 144ton,10-78,
2858,Progress Rail Services,,(formerly Trinity Railcar),,,,"   (4 mi. E. of...)   (RR 2, 69301)       ", [(308) 762-1393],,SW1200RS,,
2859,Progress Rail Services,,(formerly Trinity Railcar),,,,"   (4 mi. E. of...)   (RR 2, 69301)       ", [(308) 762-1393],22844,GP9,3-57,
2860,West Sand & Gravel,,,,Ashland / Abel,,,,31170,GE 70ton,10-51,
2862,Southeast Nebraska Cooperative Co.  –  Beatrice Branch,,,,Beatrice,,"403 S. 3rd St., Beatrice, NE 68310                           ",  [(402) 228-3458],78401,S3,11-50,
2863,Southeast Nebraska Cooperative Co.  –  Beatrice Branch,,,,Beatrice,,"403 S. 3rd St., Beatrice, NE 68310                           ",  [(402) 228-3458],24133,SW1200,11-57,
2864,Southeast Nebraska Cooperative Co.  –  Beatrice Branch,,,,Beatrice,,"403 S. 3rd St., Beatrice, NE 68310                           ",  [(402) 228-3458],17086,GP7,12-52,
2865,J.E. Meuret Grain Co.,,"(formerly Cargill, Inc. / Ag Horizons)",,Bing    (South Sioux  City / Dakota City),,1633 E Ave.      , [(402) 833-6999],17347,GP7,-52,
2869,"Cargill, Inc. – North American Corn Milling        ",,,,,,"650 Industrial Rd., 68008                           ",   [(402) 533-4100 ]   ,25123,GP9,-59,
2872,"Cargill, Inc. – North American Corn Milling        ",,,,,,"650 Industrial Rd., 68008                           ",   [(402) 533-4100 ]   ,,GP39,,
2873,Central Valley Ag,,(formerly Progressive Ag Partners),,Bradshaw,,145 W Railway St & 340 E. Railway St. 68319,  [(402) 736-4333],79560,S2d,3-52,
2874,Central Valley Ag,,(formerly Progressive Ag Partners),,Bradshaw,,145 W Railway St & 340 E. Railway St. 68319,  [(402) 736-4333],17615,GP7,-52,
2875,Bridgeport Ethanol,,,,Bridgeport,,"10106 S Railroad Ave., 69336",(308) 262-2020,17010,GP7,-52,
2878,Farmers Elevator Co.,,,,Chappell,,"433 1st, 69129                           ", [(308) 874-2245],20742,GP9,11-55,
2879,Cargill Ag Horizons,,,grain elevator,Clyde / Holdrege,,"73033 L Rd., Holdrege, 68949",(308) 995-8656,,SD40-2,5-79,
2880,ADM / Minnesota Corn Processors,(subs. ADM since 2002),,,Columbus,,"3000 E. 8th St., 68601                               ", [(402) 564-6353],34899,SW1500,-69,
2881,ADM / Minnesota Corn Processors,(subs. ADM since 2002),,,Columbus,,"3000 E. 8th St., 68601                               ", [(402) 564-6353],33139,SW1500,-67,
2882,ADM / Minnesota Corn Processors,(subs. ADM since 2002),,,Columbus,,"3000 E. 8th St., 68601                               ", [(402) 564-6353],,SW1500,12-71,
2883,ADM / Minnesota Corn Processors,(subs. ADM since 2002),,,Columbus,,"3000 E. 8th St., 68601                               ", [(402) 564-6353],,SD40-2,9-79,
2887,Gavilon Grain  ,,(formerly Peavey Co.),,Cozad,,"305 East Highway 30, 69130                               ", [(308) 784-3611],25606,SD24d,10-59,
2892,Ag Valley Cooperative,,,,Edison,,"                           (P.O. Box 60, 68936)                       [(308) 697-4199]",,73648,SD40-2,12-73,
2893,"Agrex, Inc.      ",,(formerly Koppel Grain),,Enola,,,,,SW1,4-47,
2894,"Agrex, Inc.      ",,(formerly Koppel Grain),,Enola,,,,16611,SW8,-52,
2895,Andersons Grain & Ethanol,,,,Fairmont,,"1211 US 6, 68354",(402) 268-6001,,SW1200RS,-58,
2897,Manning Grain Co.,,,,,,(private line running SE from Fairmont to Burress,,22840,GP9,3-57,
2899,Frontier Co-Operative ,,,,Fremont,,"519 East County Road T, 68025                              ", [(402) 721-0260],14392,GP7,5-51,
2900,Gavilon,,(formerly DeBruce Grain Co.),,,,"1700 Front St., 68025    (P.O. Box 689, 68025)   ",  [(402) 727-0878],15055,GP7,2-52,
2901,Scoular Co.   ,,, (grain),,,"925 E. Factory St., 68025                      ",   [(402) 721-9767],,GP30,3-63,
2902,Scoular Co.   ,,, (grain),,,"925 E. Factory St., 68025                      ",   [(402) 721-9767],19477,GP9,5-54,
2903,Midland Cooperative / Cooperative Producers Inc.,,,,Funk ,,"Hwy. 6 & 34, 68940     ", [(308) 263-2441],,NW2 Ex GMC - Central Foundry #1979,,
2906,All Points Cooperative,,(formerly Farmland Service Cooperative),,Gothenburg,,   Lincoln Hwy.,   [(308) 537-7144 ],25664,SD24d,1-60,
2907,Appalachian Rail Services,(subs. Cathcart),(formerly Freight Car America),,Grand Island,,"Cornhusker Ordnance Building N17  68803  (on 3rd Ave, off Old Potash Hwy. (a.k.a 6th St), west of...)    ", [(308) 382-3880],16627,SW8,11-52,
2908,Appalachian Rail Services,(subs. Cathcart),(formerly Freight Car America),,Grand Island,,"Cornhusker Ordnance Building N17  68803  (on 3rd Ave, off Old Potash Hwy. (a.k.a 6th St), west of...)    ", [(308) 382-3880],19310,SW9,12-53,
2909,Appalachian Rail Services,(subs. Cathcart),(formerly Freight Car America),,Grand Island,,"Cornhusker Ordnance Building N17  68803  (on 3rd Ave, off Old Potash Hwy. (a.k.a 6th St), west of...)    ", [(308) 382-3880],14379,SW9,7-51,
2910,Appalachian Rail Services,(subs. Cathcart),(formerly Freight Car America),,Grand Island,,"Cornhusker Ordnance Building N17  68803  (on 3rd Ave, off Old Potash Hwy. (a.k.a 6th St), west of...)    ", [(308) 382-3880],36034,GE 100ton IV-B,11-66,
2911,Appalachian Rail Services,(subs. Cathcart),(formerly Freight Car America),,Grand Island,,"Cornhusker Ordnance Building N17  68803  (on 3rd Ave, off Old Potash Hwy. (a.k.a 6th St), west of...)    ", [(308) 382-3880],14372,SW9m,7-51,
2912,Grand Island Utilities Dept.  -  Platte Generating Station,,,,,,"1035 West Wildwood Dr., 68801       (P.O. Box 1968, 68802)",,25044,SW1200,3-59,
2913,Nebraska Public Power District  -  Sheldon Station,,,,Hallam,,"4500 W. Pella Rd.     (P.O. Box 88, 68368)            ",  [(402) 787-2555],,SD38-2,,
2915,"AGP / Ag Processing, Inc.",,,,Hastings,,"2801 E. 7th St., 68901                              ", [(402) 463-5290],,Plymouth 45ton DE [,9-52,
2916,Appalachian Rail Services, (subs. Cathcart), (formerly Freight Car America), (railcar repair) ,,,(Industrial Park East)      (off US 6),,26851,GP20,-61,
2917,Hastings Utilities  -  Whelan Energy Center,,,,,,"(Industrial Park East)    (office: 1228 N. Denver Ave., 68901)      ",[(402) 463-1371],22880,SW900,9-56,
2920,Farmers Co-Op Elevator,,,,Hemingford,,"1017 Laramie Ave., 69348                       ", [(308) 487-3318],25108,GP9,-59,
2921,Gavilon Grain,,(formerly Peavey Grain Co.),,Kearney,,"2700 Grand Ave., 68847     ",(308) 708-6000,24739,GP7,6-51,
2922,Gavilon Grain,,(formerly Peavey Grain Co.),,Kearney,,"2700 Grand Ave., 68847     ",(308) 708-6000,17980,GP9,4-53,
2923,High Plains Cooperative,,,,Kimball,," 201 W. Front, 69145                             ",  [(308) 235-3562],20715,GP9,10-55,
2924,Gavilon,,"(formerly DeBruce Grain, Inc.)",,Lexington,,"302 E. Pacific St., 68850                             ",  [(308) 324-2377],10386,NW2,9-49,
2925,Gavilon,,"(formerly DeBruce Grain, Inc.)",,Lexington,,"302 E. Pacific St., 68850                             ",  [(308) 324-2377],21310,SD9,-56,
2926,AGP   (Ag Processing),,,,Lincoln,,"940 Calvert St., 68502",(402) 423-8977,14288,GP7,4-51,
2927,AGP   (Ag Processing),,,,Lincoln,,"940 Calvert St., 68502",(402) 423-8977,23150,GP9,-57,
2928,CHS,,,hrain elevator,Loomis,,,,32800,SD45m,4-67,
2929,Ash Grove Cement Co.,,(formerly National Stone Co.),,Louisville,,"16215 Hwy 50, 68037     ",  [(402) 234-2415],29341,GE 45ton,3-48,
2930,Ash Grove Cement Co.,,(formerly National Stone Co.),,Louisville,,"16215 Hwy 50, 68037     ",  [(402) 234-2415],33846,GE 80ton,9-61,
2931,Ash Grove Cement Co.,,(formerly National Stone Co.),,Louisville,,"16215 Hwy 50, 68037     ",  [(402) 234-2415],36657,SW1500,6-70,
2932,Mid America Agri Products,(subs. Mid America Bio Energy),,ethanol,Madrid,,"76080 Rd 338, 69150",(308) 326-4570,35890,SW1000,,
2933,Ag Valley Cooperative,,,,Maywood,, ,,23946,GP9,11-57,
2934,Frontier Cooperative Co.,,,,Mead,,"410 E 3rd St., 68041    ",  [(402) 624-3255],19901,GP9,12-54,
2936,"Kaapa Ethanol, LLC",,,,Minden,,"8450 Kaapa Ln., 68959   (on US 34 / 6 mi. W of..., 3 mi. E of Axtell)",(308) 743-2217,33143,SW1500,9-67,
2939,Gavilon,,"(formerly DeBruce Grain, Inc.)",,Nebraska City,,"500 1st Terr., 68410      ", [(402) 873-6684],19928,SD9,2-54,
2940,Gavilon,,"(formerly DeBruce Grain, Inc.)",,Nebraska City,,"500 1st Terr., 68410      ", [(402) 873-6684],20237,SD9,5-55,
2941,Louis Dreyfus Commodities LLC – Elkhorn Valley Ethanol,,,ethanol,Norfolk,,"3002 N Victory Rd., 68701  (~2 M NE of ...)",(402) 844-2680,,NW2,6-48,
2942,Louis Dreyfus Commodities LLC – Elkhorn Valley Ethanol,,,ethanol,Norfolk,,"3002 N Victory Rd., 68701  (~2 M NE of ...)",(402) 844-2680,73623,SW1000,,
2943,Nucor Steel  -  Nebraska,,,steel mill,,,"2911 E. Nucor Rd., 68701     (n/e of ...)                      ", [(402) 644-0200],19538,SW1200,12-54,
2944,Nucor Steel  -  Nebraska,,,steel mill,,,"2911 E. Nucor Rd., 68701     (n/e of ...)                      ", [(402) 644-0200],20182,SW1200,1-55,
2945,Nucor Steel  -  Nebraska,,,steel mill,,,"2911 E. Nucor Rd., 68701     (n/e of ...)                      ", [(402) 644-0200],19087,SW1200,1-55,
2946,Frontier Cooperative  ,,(formerly Peavey  Co.),,North Bend,,"351 Cottonwood St., 68649                       ",    [(402) 652-8611],15204,GP7,11-51,
2947,Ag Valley Co-Op,,(formerly Maywood Co-Op Association),,North Platte,,"402 E 7th St., 69101",,24242,GP9,11-57,
2948,Progress Rail Services Corp.,,(formerly Glover Group),(railcar repair),Northport     (Bridgeport),,                                       ,   [(308) 262-1727],13551,GP7,3-51,
2949,Progress Rail Services Corp.,,(formerly Glover Group),(railcar repair),Northport     (Bridgeport),,                                       ,   [(308) 262-1727],15287,GP7,12-51,
2950,Progress Rail Services Corp.,,(formerly Glover Group),(railcar repair),Northport     (Bridgeport),,                                       ,   [(308) 262-1727],,B23-7 Ex,,
2951,Cargill / Ag Horizons,,,,O'Neil,,"87087 494 Ave., 68763",(402) 336-4010,,SD50,1-83,
2952,GBW Railcar Services,,(formerly Greenbrier),,Omaha,,"4901 S 28th Ave,  68107                                 ",  [(402) 731-5660],17599,GP7,10-52,
2953,GBW Railcar Services,,(formerly Greenbrier),,Omaha,,"4901 S 28th Ave,  68107                                 ",  [(402) 731-5660],13204,GP7,-51,
2955,Omaha Public Power District  -  Florence Plant,,,,,,"7475 Pershing Dr.        (head office: 444 S. 16th St. Mall, Omaha, Ne., 68102)",,14752,SW9,12-51,
2956,Cargill,,(formerly United Grain Corp.),,Ord,,"SR 11 E, 68862",(308) 728-3653,25366,SD24m,7-59,
2957,Farmers Cooperative Elevator Co.,,,,Plymouth,,512 E. Main St.     , [(402) 656-3615],20382,SW1200,12-55,
2958,"Cargill, Inc.",,,,Ravenna,,"222 W. Utica St., 68869     ", [(308) 452-3281],,NW2,6-49,
2959,"Cooperative Producers, Inc.  (CPI) Agronomy",,,grain elevator,Red Cloud,,"430 Welsch St., 68970",(402) 746-3195,20771,GP9,1-56,
2962,Agri Co-op,,,,Roseland,,"9309 Lincoln Ave., 68973                ",  [(402) 756-6201],21169,SW1200,2-56,
2963,Farmers Co-Op Association,,,,Shelby  ,,"340 Oak St., 68662       ", [(402) 527-5511],27615,SD18,-63,
2964,Adams Ind.,,"(formerly Sidney Warehousing & Industrial Sites  ""SWIS"")",logistics,Sidney,,"   (~ 10 mi. N. of ..., at former Sioux Army Depot)    (P.O. Box 319, 69162)",,,NW2,10-47,
2965,Frontier Cooperative Co. – Platte Valley Terminal       ,(subs. ConAgra),(formerly Peavey Co.),,Silver Creek,,"   (E. of...)            (P.O. Box 250, 68663)                       [(308) 773-2225]",,16469,GP7,7-52,
2966,"Richardson Milling, Inc.",,(formerly 21st Century Grain Processing),(oat processing),South Sioux City,,5005 Dakota Ave.          , [(402) 494-3000],28417,SW900,12-63,
2967,"Agrex, Inc.",(subs. Mitsubishi), (formerly Koppel Grain),,Superior,,"Hwy 8 E, 68978     ", [(402) 879-4702],19497,SW900m,-54,
2969,United Farmers Cooperative,,(formerly Blue Valley Farm Cooperative),,Tamora,,,,11834,GP7,8-50,
2970,United Farmers Cooperative,,(formerly Blue Valley Farm Cooperative),,Tamora,,,,27607,SD18,-63,
2971,Gavilon,,(formerly DeBruce Grain ),,Thumel  (Clarks),,21st Rd  (just N of US Hwy. 30)     (~4 mi SW of Clarks) ,  (308) 548-2203,29245,SW1200,7-64,
2974,Green Plains Renewable Energy Inc.,,(formerly Pioneer Trail Energy Corp.),,Wood River,,"7878 S. 140th Road, 68883                      ", [(308) 583-2291],20319,GP9,6-55,
2978,Clean Earth Dredging Technologies,,,,Jersey City,,1 Linden Ave. 07305     (877) 445-3478,,,NW2,6-47,
2979,Kinder Morgan,,(formerly US Development),ethanol terminal,Tremley Point  (Linden),,,,33186,SW1000,10-67,
2987,PABCO  ,,,(gypsum mining),,,(operates 11 mi. line from Apex on UP S/E to mine),,23193,GP9,4-56,
2988,PABCO  ,,,(gypsum mining),,,(operates 11 mi. line from Apex on UP S/E to mine),,20818,GP9,,
2994,Southwest Transload & Distribution,,[formerly Rail Head ?],intermodal terminal,Las Vegas,,"4740 E Tropical Parkway, 89115",,22875,SW900,10-56,
2997,"Fulcrum Sierra Biofuels, LLC",,,,McCarran (Wunutoo Station),,"3600 Peru Dr., 89437",,25750,SW1200,-60,
3000,Savage Services,,,transload,,,Charan Ave.,(775) 777-1755,12299,GP7,12-50,
3003,ADM Corn Processing,,(formerly Clinton Corn Processing until 1982),distibution warehouse,Montezuma,,8797 W Loop Rd,(315) 776-4811,11695,EMD SW8,9-50,
3010,J Star Consolidated,,,,Moline  (Toledo),,"29460 E. Broadway St., 43600          ",    [(419) 661-9328],,Plymouth 30ton MDT,2-54,
3012,"Van Wert Terminals, LLC",,,,Van Wert,,9630 Hoaglin Center Rd.        (~3 miles E. of ...)    , (419) 238-5190,30480,GE 50ton,12-49,
3018,Heritage Cooperative,,(formerly Farmers Commission Co.),grain,Ada,Oh.,"332 W. Lincoln Ave., 45810",(419) 634-3030,27804,GE 25ton,3-45,
3019,National Lime & Stone Co.,,,,Akron,,"101 W. Emerling Ave.,  44301                         ",  [(330) 762-5461],29946,GP35,3-65,
3020,Cotter Merchandise Storage    ,,,,Akron ,,"1564 Firestone Parkway  (P. O. Box 808, 44309-0808)    (former Firestone Tire Plant)  ",  [(330) 773-9177],30830,GE 95ton,2-51,
