company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive number,locomotive model,Manufactured Date(MM/YY),locomotives
New Century AirCenter / Johnson County Airport Commission,,(formerly Johnson County Industrial Airport),,Gardner,,1 Industrial Parkway      ,  [782-5335],1992; 1550;,SW8; SW1500;,2/51; ;,"  1992  : SW8  (A-181,2-51)  Ex Johnson County Industrial Airport #1992  (same), exx CN #7151, nee CN #8501(1st).  Acq. 1992.
1550  :  SW1500"
Nutrien,,(formerly Potash Corp / PCS),,Weeping Water,,S Garfield St,(402) 267-2915,1997;,GE 65/80ton;,;, 1997  :  GE 65/80ton
San Antonio  -  City Public Service  -  J.T. Deeley Plant,,,,Elmendorf  (San Antonio),,"      (P.O. Box 1771, 78296)",,1999; ;,RS2(R/P Cummins); ;,?/77; ;,"   1999   :  RS2(R/P Cummins)   (SRI 8007,   -77)    Acq. 1977.
 (Rail Link)  :  ??"
ADM  /  Gromark River Systems,,(formerly Farmers Export),,Ama,,"11079 River Rd.  (Hwy. 18)      (P.O. Box 97, 70031]      (8 mi. West of Avondale, on UP (MP))",  [(504) 431-8421]  ,2;,GP7;,/51;,"    2  :  GP7  (13314, 5074-9,   -51)  Ex Farmers Export #2  (same), exx SLSF #581."
Midwest Railcar Repair,,,,Corson  (Brandon),,"25965  482nd Ave., 57005           ", (605) 582-8300,2;,GE 25ton; ,6/54;,"  2  :  GE 25ton  (32239, 6-54)  Nee Canadian Copper Refining #1  (Montreal PQ).
    car mover"
VFL Technology Corporation      ,,,(crushed stone),,,"Indian River Power Plant # P, 19966                               [(302) 934-8024]",,2;,RS36;,10/62;,"   2  :  RS36  (84393, 10-62)  Ex Norfolk Franklin & Danville #2, nee Atlantic & Danville #2."
CHS Cooperatives       ,,(formerly Cenex Harvest States Cooperatives),,Boyle    (Gladstone),,"(~ 3 mi. NE of..., between Gladstone & Taylor)",,2;,SW7;,03/50;,"  2  :  SW7  (9575, 4005-7, 3-50)  Ex Cenex Harvest States Cooperatives #2  (same), exx St. Hilaire Co-Op #2  (St. Hilaire, Mn.), exxx ILS #1367, exxxx BN #141, nee GN #169."
Grand Island Utilities Dept.  -  Platte Generating Station,,,,,,"1035 West Wildwood Dr., 68801       (P.O. Box 1968, 68802)",,2;,SW1200;,03/59;,"   2  :  SW1200  (25044, 3-59)  Ex BN #257, nee FW&D #608."
Kentland Elevator & Supply Inc.  ,,"(formerly Cargill, Inc.)",(grain)    ,Sheldon,,"300 S 4th  St., 60966     ", [(815) 429-3311],2; ;,GE 80ton; GP9;,2/43; /58;,"      2  :  GE 80ton (II-A2)  (17751, 2-43)  Ex Cargill, Inc.  (same), exx Early & Daniel   (same), exxx Quickway Crane Shovel Co.  (St. Louis, Mo.),  nee USA #7851. [o/s ?]
          :  GP9  (24367, 5568-12,  -58)  Ex Vermilion Valley #5620, exx Tn Southern #6583, nee B&O #6583."
Olin Chemicals,,(formerly Mathieson Alkali Works),,,,"900 I-10 W, Westlake, La.  70669",,2; ;,SW1; SW1001;,04/49; 06/82;,"   2  :  SW1  (6466, E-1003-1, 4-49)  Formerly at Saltville, Va.
        :  SW1001  (816058-1, 6-82)  Acq. new."
Rapoca Energy Co. –  #8 Mine  ,,(formerly Wellmore Coal Co.),,Big Rock,,     (on SR 700 at border of Ky.)  ,,2; ;,"Plymouth 45ton MDT; S2(r/p, r/c);",1/79; ?/78;,"           2  :  Plymouth 45ton MDT  (7264, 1-79)  Ex United Coal #2  (same), nee Anaconda Co.  (Anaconda, Mt.)  Acq. 1983.
                 :  S2(r/p, r/c)  (GE 89662,   -78)      Ex Wellmore Coal  (same)"
Waste Management,,,refuse transfer,Annapolis Jct. / Jessup,,"8077 Brock Bridge Rd., 20794",(240) 514-4348,2; ; JRWX 8379; 715;,SW8; GP9; GP9; GP38-2;,?/51; ; ?/58; ;,"         2   :  SW8  (14030, 4092-4,   -51)  Ex ITI #2  (same), formerly at Bronx, N.Y., exx CR #8673, nee LV #259.  Acq.  (2002).
              :  GP9      Ex CR #7522
(JRWX 8379)  :  GP9  (25031, 5591-10,   -58)  Ex Carolina Piedmont #8379, exx IC #8379, nee 9379.  Formerly at  Disputanta / Waverly, Va.  
  715  :  GP38-2           Ex SSRX #715, ex UP.  Acq. 2024."
Appalachian Power / American Electric Power  –  John Amos Plant,,,,Winfield,,Winfield Rd.,,2; 3;,GE 144ton (V); GE 144ton (V);,12/89; 12/89;,"[2(2nd) ?]  :  GE 144ton (V)  (44357, 12-89)   Acq. new.
       3(2nd)  :  GE 144ton (V)  (44358, 12-89)  Acq. new."
Gadsden Industrial Park,,,,Gadsden,,,,2; 3; 4; 5; JLCX 20002;,GE 25ton; GE 25ton; GE 40ton; GE 40ton; GP20,; ; ; ; ;,"  2  :  GE 25ton  (I)
  3  :  GE 25ton  (I)
  4  :  GE 40ton (4-wh.)    [Ex FreightCar American  (Johnstown, Pa.). ?]
  5  :  GE 40ton (4-wh.)   [(30880,11-53)  Ex FreightCar American  (Johnstown, Pa.). ?]
(JLCX 2002)  :    GP20  (26949, 7611-7, 1-62)  Ex Central Kansas Ry #2505, exx Hudson Bay Ry #2505, exxx SSW #4135, exxxx SSW #4046, nee SSW #816."
Arizona Public Service  –  Cholla Power Plant,,,,Joseph City,,"(head office: P.O. Box 53999, Phoenix, Az.  85072)",,2; 4; 5;,MP 15; SW9m; GP38;,6/77; 4/53; 12/71;,"      2  :  MP15  (756149-1, 6-77)  Acq. new.
      4  :  SW9m  (17805, 4133-1, 4-53)  Ex UP #1219(2nd), nee UP #1825.
      5  :  GP38  (37891, 5785-1, 12-71)  Ex PP&L #511 (Glenrock, Wy.), exx Glenrock Coal #511  (same), nee PP&L #11  (same)."
Viterra,,(formerly Gavilon Grain LLC),(grain elevator),,,"4256 54th Ave., N, 58203  (off Bus US 81)                                               ",   [(701) 787-6820],2; 477;,SW1200; GP7;,?/55; 08/52;,"          2  :  SW1200  (647(2nd), 7520-1,   -55)  Ex Gavilon Grain #2  (same), ex Peavey Grain #2  (same), ex USS - Fairless Works #2(2nd)  (Fairless Hills, Pa.), ex BN #106, nee GN #100(2nd).
       477 : GP7  (17142, 6423-2, 8-52)  Ex Gavilon Grain #477  (same), ex Peavey Grain #477  (same), exx ConAgra #477  (Nesbitt, Man.), nee Belt Ry of Chicago #477.  Acq. 2005."
Seaview Transportation Co.,,,,Davisville,R. I.,,,2; 5; ,Vulcan 65ton; SW7; ,12/43; 1/50;,"  2  :  Vulcan 65ton  (4400, 12-43)  Ex Warwick #105, exx USA  (Pueblo Ordnance Depot), nee USN  (NAD Earle, N.J.)
  5  :  SW7  (9451, 1-50)  Ex Providence & Worchester #1202, exx CR #8851, exxx PC #8851, nee NYC #8851."
Reliant Energy – Mid Atlantic  -  Portland Plant      ,,(formerly Metropolitan Edison / GPU),,Portland,,"   (P.O. Box 238, Portland, Pa., 18351) (main office: 2800 Pottsville Pike, Muhlenberg Township. Pa. 19640)",,2; 9009; ,Plymouth 45ton MDT; SW900;,6/68; /56;,"         2  :  Plymouth 45ton MDT  (6610,  6-68)  Nee Metropolitan Edison #2  (same).
 9009  :  SW900  (671(2nd), 7530-2,   -56)  Ex Metropolitan Edison #9009  (same), exx  Relco #904, nee Great Lakes Steel #7(2nd)  (Ecorse, Mi.)  Acq. 1992."
Fries Farms LLC / Claxton Poultry Farms,,,(feed mill ),Surrency,," 11500 Golden Isle Hwy E, 31563  (3 mi. s/e of..., on Barfield Break, off off US 341)",(912) 367-6558,20;,NW2;,;,   20  :  NW2
Dayton Power & Light Co.,,,,South Dayton,,,,20;,GE 80ton;,11/50;,"  20  :  GE 80ton  (30510, 11-50)  Acq. new."
Martin Marietta Materials  -  Genoa Yard ,,,,,,"9519 Galveston Rd., 77034                     ",  (281) 441-6807,20; ;,SW1200; SW1200;,?/63; ?/63;,"  20  :  SW1200  (27870, 7634-3,   -63)  Ex LTEX #20, exx Geneva Steel #1102, exxx USS - Geneva Works #20  (same), nee MP #1102.  Acq. 2021.
        :  SW1200  (27870, 7634-3,   -63)  Ex LTEX #20(2nd), exx Geneva Steel #1114, exxx USS - Geneva Works #20  (same), nee MP #1114.  Acq. 2021.  [huh ??]
"
General Electric Co. – Power,,,,Schenectady,,"1 River Road, 12305   ", [(518) 385-4388],20; 21; ;,GE 85ton; GE 85ton (V-A); car mover;,11/76; 12/78; ;,"   20  :  GE 85ton  (41029, 11-76)  Acq. new.  O/s by 2014.
   21  :  GE 85ton (V-A)  (41134, 12-78)  Acq. new.
      car mover"
Great Miami Inc.,,,,Hamilton,, B St.          (private switching co. for Smart Paper plant),,20; 70;,GP9; GP7;,01/59; ;,"       20  :  GP9  (24804, 5582-33, 1- 59)  Nee N&W #652.
       70  :  GP7"
Progress Rail Services Corp.,,(formerly Glover Group),(railcar repair),Northport     (Bridgeport),,                                       ,   [(308) 262-1727],200; 1310; SPSX 4034;,GP7; GP7; B23-7;,03/51; 12/51; ;,"             200  :  GP7  (13551, 6219-1, 3-51)  Ex Sidney & Lowe #200, nee Co & Wy #101.
           1310  :  GP7  (15287, 5085-43, 12-51)  Ex Glover Group  (same), exx Herzog #1310, nee C&O #5781.
(SPSX 4034)  :  B23-7                          Ex (NS #4034), nee CR #4034.  Acq. 2002."
Mittal Steel USA,, (formerly ISG Cleveland Works Ry.),,,,"3060 Eggers Ave., P.O. Box 6073, Cleveland, Oh.  44101    [(216) 398-3507]",,200; 208; 212; 373; 214; 421; 422; 423;,SW1001; SW1001; ; SW1200; SW1001; SW1001; SW1001; SW1001;,07/79; ?/78; ; 08/55; 03/76; 04/74; 04/74; 03/75;,"     200  :  SW1001  (786279-2, 7-79)  Ex Cuyahoga Valley #1052, nee American Steel Foundries #9G10  (Granite City, Il.)  
     208  :  SW1001  (786155-1,  -78)  Nee River Terminal #208.
     212  :  
     373  :  SW1200  (20639, 8-55)  Ex #1207, exx Cuyahoga Valley #1207, nee Aliquippa Southern #1207.
     214  :  SW1001  (756061-1, 3-76)  Ex #424, exx Cuyahoga Valley Ry. #424, exx River Terminal #424, nee Monongahela Connecting #424. 
     421  :  SW1001  (73688-1, 4-74)  Ex Cuyahoga Valley Ry. #421, nee Monongahela Connecting #421.
     422  :  SW1001  (73688-2, 4-74)  Ex Cuyahoga Valley Ry. #422, nee Monongahela Connecting #422.
     423  :  SW1001  (74672-1, 3-75)  Ex Cuyahoga Valley Ry. #423, nee Monongahela Connecting #423.
     425  :  SW1001  (756061-2, 3-76)  Ex Cuyahoga Valley Ry. #425, nee Monongahela Connecting #425.
     855  :  SW900  (21596, 2-56)  Ex #960, nee Cuyahoga Valley #960.
     962  :  SW900  (19520, 3-54)  Ex Cuyahoga Valley Ry. #962, exx CR #8630, exx PC #8630, nee NYC (CUT) #9630).
  1003  :  SW1001 (36160, 4575-1, 2-70)  Ex Cuyahoga Valley Ry. #1003, exx Aliquippa & Southern #1003, nee Monongahela Connecting #420.
  1052  :  SW1001                                   Ex Cuyahoga Valley Ry. #1052
  1209  :  SW1200  (21560, 4-56)  Ex Cuyahoga Valley Ry. #1209, nee Aliquippa & Southern #1209.
  1280  :  SW1200  (21598, 5-56)  Nee Cuyahoga Valley #1280.
  1281  :  SW1200  (21599, 3-56)  Nee Cuyahoga Valley #1281.
  1286  :  SW1200  (30490, 5-65)  Nee Cuyahoga Valley #1286.
                :  ???          Ex CP [#1240 [[2nd?]].  Acq. 2004.
  1553  :  SW1500  (35814, 4570-26, 4-70)  Ex WC #1553, nee SP #2578.
  1554  :  SW1500  (4608-4,   -71)  Ex WC #1554, nee SP #2594.
  1555  :  
  1556  :  SW1500
  1557  :  SW1500  (4608-75,   -72)  Ex WC #1557, nee SP #2665."
CHS Cooperatives       ,,(formerly Cenex Harvest States Cooperatives),,,,"41 Dock St., 54880              ",[(715) 392-4734],200; 507; 15; 2117;,SW1; SW1; SW1; SW1200;,3/53; 6/46; 4/49; 9/53;," 200  :  SW1  (17709, 4210-1, 3-53)  Ex Cenex Harvest States #200  (same), exx Harvest States Co-Op #200  (same), nee Portland Traction #200.
 507  :  SW1  (3290, E-668-2, 6-46)  Ex Cenex Harvest States #507  (same), exx Harvest States Co-Op #507  (same), exxx C olumbus & Greenville #507, exxxx C&G #607, exxxxx IC #607, nee IC #9022.
    15  :  SW1  (6259, E-990-2, 4-49)  Ex Cenex Harvest States #15  (same), exx Harvest States Co-Op #15  (same), exxx Hanna Furnace #15  (Buffalo, N. Y.).
  2117 :  SW1200  (18437, 9-53)  Nee Soo #2117.  Acq. 2003."
Agri Co-op,,,,Roseland,,"9309 Lincoln Ave., 68973                ",  [(402) 756-6201],2000;,SW1200;,02/56;,"  2000  :  SW1200  (21169, 4334-5, 2-56)  Ex CR #9367, exx PC #9184, nee NH #644."
IMC Chemicals,,(formerly North American Chemical),,Trona,,"(P.O. Box 367, 93592)          ",  [(619) 372-2379],2000;,SW1200;,/65;," 2000  :  SW1200 (30251, 4477-13,  -65)  Ex North American Chemical #100  (same), exx Kerr-McGee #2284  (Trona, Ca.), exxx SP #2284, nee SP #1619."
"Hoffman Transportation, Inc.",,,,,,"24708 W. Durkee Road, 60410   (south side of Des Plaines River, /  Durkee Road is off River Rd.)  ", [(815) 423-2083],2000; 2002;,SW8; SW1000;,2/51; 7/79;,"  2000  :  SW8  (A-183, 2-51)  Ex CN #7153, nee CN #8503(1st).  Acq. 2001.
  2002  :  SW1000    (786279-1, 7-79)  Ex IneosNova #2002  (Channahon, Il.)   (not used - for parts)"
Vistra Energy  -  Newton Plant,,(formerly Dynegy),,Newton,,"     (N/W of Newton Lake, at S. end of 500E) ",,2000; GMTX 3301;,GP35d; SD38-2;,2/64; ;,"   2000  :  GP35d  (28490, 2-64)  Ex Ameron #2000  (same), exx SP #6548, nee SP#7436. 
(GMTX 3301)  :  SD38-2         Acq. 2018."
Lattimore Materials ,(subs Lafarge Holcim),,,Plano,,"1200 N Ave, 75074                        ", (972) 423-8359,2001;,GP9;,?/57;,"2001  :  GP9  (23467, 7544-1,   -57)  Formerly at Stringtown, Ok., ex BNSF #1663, exx AT&SF #2275(2nd), exxx AT&SF #2932, nee AT&SF #732.  Trans. 2002.  "
Gavilon,,(formerly DeBruce Grain ),,Plainview,,"   (~3 m. N. of...)  (on CR 55, off Interstate 27 Service Rd.)", [(806) 293-2621],2001;,SD7;,4/52;,"  2001  :  SD7  (15612, 5139-1, 4-52)  Ex DeBruce #2001  (same), exx  Indiana RR #2001, exxx DM&E #559, exxxx Soo #559, exxxxx Milw #559, exxxxxx Milw #500, nee Milw #2200.  Acq. 2003."
Penny-Newman Grain Co.,,,,Guernsey,,"          (~6 mi. S. of Hanford, near S 10th & Kansas Aves.)",,2001;,GP20;,7/60;,"  2001  :  GP20  (26045, 5624-1, 7-60)  Ex Arizona & California #2001, exx Southeast Coal Co. #2001, nee UP #470."
"Stephan Co., Ltd.          ",,,(specialty chemicals),Millsdale,,(~4mi. N/W of Elwood),,2001;,SW1200;,;,"2001 :  SW1200  (A-743,            )  Ex Relco #1269, exx CN #1507, exxx CN #1225, nee CN #1596.  Acq. 2001."
AGP / Ag Processing,,,,Aberdeen,S.D.,,,2001; 2002; ,GP38-2; GP38-2; ,;,"  2001  :  GP38-2            Ex AERC #2001.  Acq. 2024.
  2002  :  GP38-2            Ex AERC #2002.  Acq. 2024."
Cargill Ag Horizons,,,grain elevator,Clyde / Holdrege,,"73033 L Rd., Holdrege, 68949",(308) 995-8656,2002;,SD40-2;,05/79;,"   2002  :  SD40-2  (786178-20, 5-79)  Formerly at Gibbon, Ne., previously at Wood River, Ne., nee MP #3285.  Trans c.2015."
Ag Valley Cooperative,,,,Edison,,"                           (P.O. Box 60, 68936)                       [(308) 697-4199]",,2002;,SD40-2;,12/73;,"  2002  :  SD40-2  (73648-4, 12-73)  Ex UP #8929, exx UP #B4118, exxx UP #4118, nee MP #3118.  Acq. 2002."
"Haines & Kibblehouse, Inc. / Birdsboro Materials",,,quarry,,,"1267 Haycreek Rd, 19508         (just Sof...)",(610) 404-8440,2002; 2005;,SD38; SD38;,07/69; 07/69;,"  2002  :  SD38  (34865, 7161-3, 7-69)  Ex Reading & Nor #2002, exx GTW #6252, nee D&TSL #252. 
  2005  :  SD38  (34863, 7161-1, 7-69)  Ex Reading & Nor #2005, exx GTW #6250, nee D&TSL #250."
"Chevron USA, Inc.",,,,El Segundo,,"324 West El Segundo Blvd., 90245                     ",   [(310) 615-5000],2002; 3556; RLIX 1500; ,RP20BD; GP 28-2; SW1500;,; ; /69;,"  2002  :  RP20BD             Ex CIND #2002.  Acq. 2023.
  3556  :  GP38-2               Ex DGNO #3556
  (RLIX 1500)  :  SW1500  (34429, 7141-2,   -69)  Ex Chattahoochee Industrial Ry #1500, ex Gateway Western #1500, ex Chicago Missouri & Western #1500, ex Iowa Interstate #1500, ex New Hampshire Northern #1500 (never delivered), nee  SSW #2512.  Acq. 2024."
Stringtown Materials LP / Lattimore Materials Co.  -  Stringtown Quarry,(subs Lafarge Holcim),,,Stringtown,,"100 East Reba McEntire Ave., 74569                       ", [(580) 346-7376],2002; GMTX 3011;,GP9; GP40;,01/57; 01/71;,"   2002  :  GP9  (22320, 5480-48, 1-57)  Ex IC #8737, exx ICG #8737, nee IC #9255.  Acq. 2002.
(GMTX 3011)  :  GP40  (36737, 7275-17, 1-71)  Ex Green Mountain Ry #304, exx  CSX #6532, nee B&O #3756.  Acq. 2016."
Sweetwater Switching,(subs Cape & Son),,,,,,,2003; 6009; 3166;,GP20; SD40A; SD40-2;,2/62; 8/69; ;,"  2003  :  GP20  (27097, 5634-11, 2-62)  Ex Wi Southern #2003, exx #4060, exxx SP #4060, nee SP #7210.
  6009  :  SD40A  (34942, 5743-4, 8-69)  Nee IC #6009.
  3166  :  SD40-2  (766056-3)  Nee UP."
"New Ulm Quartzite Quarries, inc.",,,,,,US 14 & 571st Ln.    (2 mi. E of...),,2004;,S2 (r/p Cummins);,03/80;,"  2004  :  S2(r/p Cummins)  (GE 89975, 3-80)  Acq. 2004."
Martin Marietta - Hatton Quarry,,,,Hatton,,"323 CR 15, (Cove, Ar.)  71937     ",  (870) 385-2301,2004; 1;,GP38; SD40;,; 03/71;,"2004    :  GP38  (35254, 7189-9)  Ex NS #2724, nee SR #2724.
         1    :  SD40  (37550, 7319-8, 3-71)  Ex AGCR #1, exx BRC #566(1st), exxx LLPX #4305, exxxx BN #7305, exxxxx GATX #5077, exxxxxxx MP #3077, nee MP #777."
The Andersons Marathon Ethanol,,,ethanol,Greenville,,"5728 Sebring Warner RD, 45331",  (937) 316-3700,2008;,SW8;,01/54;," 2008  :  SW8  (19494, 4259-  , 1-54)  Ex LTEX #1, ex Olympic Mill Service #006  (Briar Hill, Oh.), ex Sharon Steel #6  (Farrell, Pa.), ex Wheeling-Pittsburgh Steel #33, nee Canton RR #43. Acq. c. 2009."
Vestas,,,structural steel tubes,Pueblo,Co,"100 Tower R, 81004     (719) 288-2200  (4 mi S of Pueblo, off Lime Rd.)",,2008; 2019;,GP20; GP20;,6/60; 8/61;," 2008  :  GP20  (25583, 7584-11, 6-60)  Ex South Plains Lamesa #2008.
 2019  :  GP20  (26835, 7609-5, 8-61)  Ex South Plains Lamesa #2019."
Osnabrock Farmers Cooperative Elevator / Northern Prairie Ag ,,,,Nekoma,,"103 Dakota St., 58355",  (701) 949-2722,2009; 6064;,GP38; SD40-2;,11/71; ;,"   2009  :  GP38  (37929,7333-1, 11-71)  Ex NREX #4997, exx  GTW #4997, exxx CV #5800, nee GTW #5800.  [gone ?]
   6064  :  SD40-2           Ex CP."
Martin Marietta - O'Neal Quarry,,,,Calera,,"3703 SR 31, 35040    ", (205) 664-9025,201;,MP15AC;,;, 201  :  MP15AC              Nee SP.  Acq.2016.
Bartlett Grain Co. LP,,(formerly CHS / Cenex Harvest State,(grain elevator,,,"5801 NE Birmingham Rd., 64117",,201;,GP9;,?/55;,"   201  :  GP9  (20518, 5387-4,   -55)  Formerly at Carrollton, Mo., ex Dallas, Galand & Northeastern #201, ex South Orient RR #201, nee D&RGW #5904."
Kentucky Utilities Co. / KU Energy  ?  E. W. Brown Generating Station,,,,Burgin,,"    ( near ?, on NS)",,2010;,NRE genset;,;,2010  :  NRE  genset 2GS14B-R        Acq. 2010.
Louis Dreyfus Corp. - Pier 86 Grain Terminal,,"(formerly Cargill, Inc.)",,,,955 Alaska Way      (Pier 86)     , [(503) 243-1133],2010; 2011;,GP9; GP9;,3/55; 2/57;,"        2010  :  GP9  (20347, 5386-2, 3-55)  Ex BN #1841, nee NP #215.
        2011  :  GP9  (22787, 5524-20, 2-57)  Ex BN #1742, nee NP #304."
Gavilon ,,(formerly Peavey Grain),grain elevator,Dubuque,,635 E Commercial St.  (E 7th & Commerce)     ,  [(563) 556-4245],2012;,SW8;,5/51;,"  2012  :  SW8  (15007, 7008-13, 5-51)  Ex Peavey Grain #2012. (same), nee USA #2012."
Quaker Oats Co.,,,,,,418 2th St NE  52401  , [362-3121],2015;,SW9;,5/51;,"2015  :  SW9  (14501, 4120-3, 5-51)  Ex RLCX #1245, exx JTPX #1201, exxx DJPX #1201, exxxx Lake Terminal #1201, nee LV #288."
Louis Dreyfus Commodities LLC – Elkhorn Valley Ethanol,,,ethanol,Norfolk,,"3002 N Victory Rd., 68701  (~2 M NE of ...)",(402) 844-2680,2017; 2020;,NW2; SW1000;,06/48; ;,"    2017  :  NW2  (5561, E-919-5, 6-48)   Ex Conoco  (Zuni, N.M.), previously at Ponca City, Ok., exx E.I. duPont - Chanmbers Works #108  (Deepwater, N.J.), nee KCS #1216.  Acq. 2007.
    2020  :  SW1000  (73623-21,     )  Formerly at Grand Junction, Ia.), ex NS #2110, exx CR #9421, nee Reading #2621."
Omar Mining Co.        , (subs. Massey Energy Corp.),,,Uneeda,,"Rt. 85 S, Robinson Creek       (P.O. Box 338, (Madison), 25130)    ", [(304) 369-1041],202;,SW9;,1/52;,"       202  :  SW9  (15602, 4129-2, 1-52)  Ex Atlantic Mining #202, exx SCL #202, exxx ACL #720, nee Charleston & Western Carolina #803."
Nutrien,,(formerly PCS Phosphate),,Marseilles,,US 6 & E 2659th Rd,,202; OMLX 1460;,SW1200; SW9m;,9/65; 6/51;,"202  :  SW1200 (r/p Cat)  (30638, 4484-1, 9-65)  Ex Timken Co. #202  (Canton, Oh.), nee RI #902.
(OMLX 1460)  :  SW9m  (1453, 4093-1, 6-51)  Ex Chicago Rail Link #1460, exx IC #1460  Acq. 2016"
"Tyson Foods, Inc.           ",,(formerly Holly Farms),,Monroe,,"Secrest Avenue, Monroe, NC 28110 
                             (704) 283-7574",,20209;,Republic [RX500 ?];,;,20209  :  Republic [RX500 ?]
Iron Horse Industrial Park / Citizen Potawatomi Nation RR,,,,Shawnee,,"Iron Horse Blvd.  (off E W 118, s/e of ...)",,"2022 ""Linda"";",SW9/1200;,;,"  2022  ""Linda""  :  SW9/1200            Acq. 2023."
"Southwind Marine Centre / Indiana Port Commission     ""Southwind Shortline RR""",,,,,,"1700 Bluff Rd., 47620     ",  [(812) 838-4382],2027;,SW8;,5/51;,"   2027  :  SW8  (15022, 7008-28, 5-51)  Nee USA #2027."
Grain Craft,,(formerly Milner Milling),,,,"700 Milner Rd., 35214   (off Sandusky Rd.)",(205) 798-2360,2028;,SD24d;,7/59;,"2028  :  SD24d  (25399, 5602-B12, 7-59)  Ex Milner Milling #2028  (same),  exx IC #2028, exxx ICG #2028, nee UP #411B.  "
Garnett Asphalt,,,,Peth   (Great Valley),,,,203;,GP9;,04/56;,"  203  :  GP9  (21533, 4-56)  Ex B&P #203, exx B&O #6043(2nd), nee C&O #6043."
Granite Peak Transloading,,,,Gillette,,(off SR 450 / Clareton Hwy / Little Thunder Rd - Black Thunder Mine entrance),,2033;,SD24m;,1/60;,"  2033  :  SD24m  (25662, 5606-36, 1-60)  Ex Orange Port Terminal #2033, exx NRE #2033, exxx ICG #2033, exxxx ICG #2033, nee SR (CNOT&P) #6313.  Acq. 2020."
Natchitoches Parish Port,,,,Natchitoches,,"Hwy 486                          (P.O. Box 2134, 71457-2134)",,2035; 2036;,SW8; SW8;,05/51; 05/51;,"  2035  :  SW8  (15030, 7008-36, 5-51)  Nee USA #2035.
  2036  :  SW8  (15031, 7008-37, 5-51)  Nee USA #2036."
"Attebury Grain, Inc",,(formerly Farmland / ADM),merchant grain elevator,,,"624 Burlington Rd.  (P.O. Box 79440, 76179)               ", [(817) 232-5105],204; OMLX 1751; MJRX 849; 9861;,GP9; SD9; B30-7; SD50;,?/57; ; 3/79; ;,"  204  :  GP9 (22930, 5516-19,   -57)  Ex Nash County #204, exx Yadkin Valley #204, exxx SP #2877, exxxx SP #3589, nee SP #5748.  Acq. 2005.
(OMLX 1751)  :  SD9
(MJRX 849)  :  B30-7   (42234, 3-79)  Ex Dakota Short Line #849, nee SP #7849.  Acq. 2012.
                  9861  :  SD50                     Ex Cimarron Valley #9861.  Acq. 2019."
Cargill,,(formerly United Grain Corp.),,Ord,,"SR 11 E, 68862",(308) 728-3653,2053;,SD24m;,07/59;,"  2053  :  SD24m  (25366, 5602-A9, 7-59)  Ex Wi Sou #2053, exx #2009, exxx Twin Cities & Western #2009, exxxx ICG #2009, nee UP #408."
TXI  ?  Boulder Plant          ,,(formerly Western Aggregates Inc.),,Rocky Flats  (Boulder),,"11728 Hwy. 93, Boulder, Co. 80303-9649    (6 mi. S. of Boulder)     ",((303) 499-1010],208-1;,G8;,6/54;,"   208-1  (851)  :  G8  (A-612, 6-54)  Ex Western Aggregates #208-1  (same), exx Inco #208-1  (Thompson, Man.), exxx CN #851, exxxx CN #1101(1st), exxxxx CN #1571, nee CN #7671.  Acq. 1996."
Mosaic Co.,,"(formerly Cargill, Inc. )",(phosphate fertilizer),Riverview / East Tampa,,"8813 US Hwy 41 S, 33601    ",   [(813) 677-9111],209; ;,MP15; car mover;,;;,"    209  :  MP15               [Ex IMC-Agrico #18 ?] 
           car movers"
Exelon Power  -  Delaware Geerating Station     ,,(formerly Peco Energy),,,,    (foot of Columbia Avenue),,21; ,Plymouth 35ton; ,5/55;,"  21  :  Plymouth 35ton  (5850, 5 -55)  Ex PECO Energy #21  (same), nee Philadelphia Electric #21  (same)."
Kyoei Steel,,(formerly Bayou Steel),(scrapyard / steel mill) ,Vinton,,Lovena Rd.           ,  [(915) 886-2000],21; ; 22; GMTX 184;,SW9; SW9/1200; GP9; SW1500;,4/53; ; ; 1/73;,"   (MPI) 21  :  SW9  (12865, 4075-1, 4-53)  Ex Arcelor Mittal #21  (same), exx Metal Processing #21  (same), exxx SP #2301, exxxx SP #2208, nee SP (T&NO) #108.  Long o/s.
           :  SW9/1200
   22   :  GP9           Ex Acelor Mittal #22  (same), exx Metal Processing #22  (same), nee SP.  Long o/s.
  (GMTX 184)  :  SW1500  (71612-1, 1-73)  Nee Georgia Power #1405.  Acq. 2018."
